district,rooms,square_meters,price
Mokotów,2,59.23,4200
Wola,3,59,5200
Bielany,3,68.5,4000
Bielany,3,68.5,4000
Wola,1,29,2300
Ursynów,2,50,2900
Ursus,2,41.9,3100
Wola,4,100,10000
Mokotów,3,111,9000
Mokotów,4,120,12700
Mokotów,3,68,3600
Włochy,2,36,3600
Wola,1,28,2500
Wola,3,60,5400
Wilanów,3,83,8500
Mokotów,1,23,2000
Śródmieście,1,65,8700
PragaPołudnie,1,23.5,2100
Targówek,1,28,2300
Żoliborz,3,49.94,3420
Śródmieście,2,48.18,3600
PragaPołudnie,3,64,3000
Bielany,3,75,4200
Bielany,3,55.95,3199
Śródmieście,2,37.18,3700
Mokotów,1,28,2800
Wilanów,2,59.34,4990
Centrum,2,47,3300
Żoliborz,2,59,4300
Wola,2,42,4300
Ursynów,2,57,2600
PragaPołudnie,2,52,3000
Bielany,3,87,3700
Włochy,1,32,3500
Wola,2,44,3800
Wola,1,32.7,3500
Ursus,2,41.9,3100
Mokotów,2,51,2900
Ursynów,3,64,3400
Mokotów,3,69,7000
Żoliborz,2,52,4200
Bielany,2,40,3900
Bielany,2,48.7,2850
Warszawa,2,37,3000
Wola,2,54,3700
Śródmieście,3,58,5000
Wola,2,36,3600
Mokotów,2,54,3250
Wola,2,42,2500
Bemowo,2,50,3200
Wola,2,38,4500
Włochy,2,37.5,2900
Ochota,2,49,3500
Mokotów,3,66,3800
Włochy,2,81,6400
Wawer,3,66.5,3900
Ursus,2,39,2500
PragaPołudnie,2,37,2300
Bemowo,3,61,3300
Wola,2,43,3700
Mokotów,2,54,4500
Wilanów,4,150,20000
Mokotów,3,103,8980
Ochota,1,39,1900
Wesoła,4,150,4200
Mokotów,2,58.5,3600
Wola,2,38,3700
Mokotów,3,111,10000
Mokotów,1,35,3100
Bemowo,1,33,2300
Bielany,1,27,2250
Śródmieście,1,30,3300
Mokotów,3,53,3800
Bemowo,2,49,4950
Targówek,2,48.7,3200
Mokotów,2,38,3500
Mokotów,5,128,9990
Ursynów,1,28.5,2600
Wola,2,43,3700
Mokotów,2,41,3100
Śródmieście,1,30,3199
Mokotów,2,45,3600
Bemowo,5,170,13000
Wola,2,42,4300
Ursus,2,44,3000
Żoliborz,3,65,5500
Wilanów,2,50,3400
PragaPołudnie,2,47,4000
Śródmieście,2,49.8,4000
Wola,2,41.56,3000
Mokotów,2,47.5,4400
Ochota,1,36,2700
Włochy,3,80,6500
Ursynów,4,116,6000
Ursynów,2,33,3500
Wola,1,26,2500
Włochy,1,22,2600
Śródmieście,3,88,6000
Ochota,3,80,6500
Mokotów,3,110,8500
Mokotów,2,47,3600
Mokotów,3,66,3800
Śródmieście,2,37.18,3700
Śródmieście,1,25,3500
Warszawa,3,130,6700
Śródmieście,2,42,5500
Ursynów,3,74,4000
PragaPołudnie,2,61,4600
Targówek,2,35,2900
Mokotów,2,42,2300
PragaPołudnie,3,57,3500
Mokotów,5,163,17000
Warszawa,2,36,7500
Żoliborz,2,59,4300
Śródmieście,2,67,5500
Mokotów,2,43.6,3000
Ursynów,2,52,2800
Ochota,3,92,5000
Śródmieście,2,38,3700
Mokotów,3,53,3800
Ursynów,2,57,2600
Ursus,2,43.9,2600
Mokotów,4,105,11980
Wilanów,3,78,7490
Targówek,2,50,3300
Ursus,2,41.9,3100
Włochy,2,81,6400
Żoliborz,2,62,4500
Wola,2,33,4500
Mokotów,2,52,4999
PragaPołudnie,2,51,2600
Wola,4,108.5,6990
PragaPółnoc,1,33.8,2600
Mokotów,3,78,6000
Wilanów,2,56,3900
Śródmieście,2,50,3000
Śródmieście,1,65,8700
Wola,4,65,4250
PragaPółnoc,1,27,2200
Wawer,2,62,3900
mazowieckie,3,64,4900
Śródmieście,3,59,4500
Mokotów,2,43,3000
Mokotów,2,44,3500
PragaPołudnie,2,40,3700
Śródmieście,2,50,5000
PragaPółnoc,2,40,3460
Mokotów,4,113,11500
Wawer,2,32,3000
Mokotów,3,53,3800
Wawer,3,63,2900
Ursynów,2,55,2900
Centrum,1,25,2700
Śródmieście,2,50,6500
Bemowo,2,30,2750
PragaPołudnie,2,35,2800
Wola,2,36,3400
Wilanów,3,67.44,7500
Wilanów,2,45,3000
Mokotów,3,51,2800
PragaPołudnie,2,42,2500
Mokotów,3,66,3800
Warszawa,1,30,3500
PragaPołudnie,2,55,2990
Bielany,2,57,5000
Ursynów,2,51,3200
Ursus,3,70.6,4700
Ursynów,2,42,2200
PragaPołudnie,2,59,4200
Śródmieście,3,110,10500
Wola,2,42,3500
Ursynów,3,66.3,3680
Mokotów,3,80,8500
Wola,3,61.8,4700
Mokotów,3,53,3800
Żoliborz,2,31,4100
Targówek,2,49.5,2800
Wola,2,83,11000
PragaPołudnie,2,51,2600
Bielany,2,35,2500
Śródmieście,2,37,5100
Bemowo,1,30.24,1950
Ursynów,4,105,7485
Wawer,2,56.6,3000
Mokotów,2,43,3370
Bielany,3,55.95,3199
Białołęka,2,46,2500
Mokotów,3,54,3800
Śródmieście,2,60,4300
Śródmieście,3,84,9000
Śródmieście,2,49.8,4000
Bielany,2,52,249990
Włochy,1,17.29,2500
Żoliborz,1,24,1980
Śródmieście,3,83,11000
Śródmieście,2,70,5800
Ursus,2,54,3000
PragaPółnoc,1,27,2200
Białołęka,2,40,2600
Mokotów,2,42,3300
Mokotów,4,102,12000
Śródmieście,2,45,3850
PragaPołudnie,3,60,2900
Mokotów,2,43,3000
Śródmieście,1,22,2999
Mokotów,4,110,12000
Śródmieście,2,34,3000
Wola,3,56,3900
Wola,1,29,2300
Włochy,2,42.5,3300
Ursynów,3,70,3850
PragaPółnoc,1,27,2400
Wilanów,3,72,7200
Wola,1,106.41,12770
Wola,3,61.8,4700
Wesoła,4,150,4200
Mokotów,2,47,3600
Mokotów,3,50,4500
PragaPołudnie,3,57,5400
Mokotów,4,140,13000
Wola,2,35,3800
Śródmieście,3,44,4200
Ursus,2,41.9,3100
PragaPołudnie,2,49,2000
Śródmieście,2,100,8000
Ursus,2,58.1,3300
Ochota,1,22,2500
PragaPółnoc,1,33.8,2600
Warszawa,1,30,3500
Białołęka,2,58,2900
PragaPółnoc,1,34,2350
Wilanów,3,92,8200
Żoliborz,2,52,4200
Mokotów,2,42,5500
Śródmieście,3,135,5900
Ochota,1,36,2700
Bemowo,3,87.5,5900
Białołęka,3,49,3749
Włochy,2,34,3999
Mokotów,2,50,3300
Wola,2,36,3400
Mokotów,3,57,4500
Bielany,4,104,6200
Wola,2,50,4500
Włochy,2,34,3999
Bielany,3,73,6000
Ursynów,2,42,2200
Śródmieście,1,30,2400
Mokotów,3,67,7000
Wola,1,28,2400
Mokotów,3,53,3800
Wola,2,41.56,3000
Mokotów,3,66,3800
Wola,2,38,4000
Śródmieście,2,64,4500
Mokotów,3,133,8500
Mokotów,3,78,9000
Bielany,2,40,3900
Ursus,3,70.6,4700
Wola,2,36,4950
Targówek,4,103,6900
Śródmieście,2,53,6000
Wola,2,42,3800
Wola,2,32,3500
Białołęka,2,46,2500
Mokotów,2,55,4300
Białołęka,2,44,2900
Mokotów,4,127,9900
Wola,2,36,3600
Śródmieście,1,47,4600
Wola,2,43,3700
PragaPołudnie,2,42,2400
Wilanów,3,77,6700
Śródmieście,3,110,14990
Bielany,3,75,4300
Mokotów,3,53,3800
Targówek,1,28,2300
mazowieckie,1,36.55,2200
PragaPółnoc,2,41.34,3500
Mokotów,3,48,3000
Centrum,2,80,18000
Mokotów,2,58.5,3600
Ochota,1,28,2000
PragaPołudnie,2,46,3400
PragaPółnoc,2,57,4700
Ochota,2,51,3999
PragaPołudnie,5,180,9800
Białołęka,2,40,2600
Ursus,2,41.9,3100
Mokotów,4,164,14500
Mokotów,5,255,17000
Mokotów,2,45,4000
Bemowo,5,170,13000
Białołęka,2,46,2900
Wilanów,2,44,2900
Wilanów,3,70,7000
Bielany,3,66,2800
Białołęka,2,44,3500
Wola,2,47,2200
PragaPołudnie,2,38,3100
Wola,2,50,3200
Śródmieście,3,100,7500
Śródmieście,2,54,6500
Śródmieście,3,161.2,45000
Bielany,3,56,4900
Wola,1,28,2500
Mokotów,2,47.5,4400
Ochota,3,84,5300
Śródmieście,3,95,8000
Śródmieście,3,68.55,4000
Żoliborz,3,47,4800
Ursynów,3,68,3499
Targówek,2,43,2600
Mokotów,3,92,6500
Śródmieście,2,78.5,12000
Ursynów,2,54.2,3800
PragaPołudnie,3,60,2900
Mokotów,4,160,27000
Ochota,2,52,4500
Wilanów,4,116,15000
PragaPołudnie,2,43,3750
Mokotów,2,51,3350
Włochy,2,36,3600
Żoliborz,2,48,2500
Białołęka,3,68,4000
Śródmieście,3,70,6900
Wola,5,160,25000
Wilanów,3,104,21000
Ursynów,2,44,3200
Mokotów,2,32,3500
Bielany,4,100,6800
Śródmieście,3,80,11000
Wola,3,61,3100
Śródmieście,2,56,5000
Bielany,2,40,3900
Śródmieście,1,39,2800
Białołęka,2,46,2500
Śródmieście,3,78,10000
Mokotów,5,230,35000
Śródmieście,5,170,11600
Białołęka,2,50,2500
Ursus,3,60,4500
Białołęka,2,38,3100
Włochy,1,30,2450
Ochota,2,42,3200
Mokotów,3,80,7900
Wola,3,48.41,4600
Ursynów,1,28.5,2600
Wilanów,2,44,2900
Mokotów,4,103,12000
Mokotów,4,70,3700
Śródmieście,3,100,10500
Bielany,3,75,4300
Targówek,2,43,2600
PragaPółnoc,1,33.8,2600
Mokotów,4,180,12000
Centrum,4,156,30000
PragaPółnoc,2,39.6,3800
Ursynów,2,44,3200
Bielany,2,52,249990
Mokotów,4,83,5400
Mokotów,3,140,2750
